topic_uz,topic_ru,word_uz,word_ru
Idish-tovoq. Oziq-ovqat,Посуда. Продукты,Guruch,Рисовая
Idish-tovoq. Oziq-ovqat,Посуда. Продукты,Idish-tovoq,Посуда
Idish-tovoq. Oziq-ovqat,Посуда. Продукты,Kefir,Кефир
Idish-tovoq. Oziq-ovqat,Посуда. Продукты,Kisel,Кисель
Idish-tovoq. Oziq-ovqat,Посуда. Продукты,Kolbasa,Колбаса
Idish-tovoq. Oziq-ovqat,Посуда. Продукты,Konfet,Конфеты
Idish-tovoq. Oziq-ovqat,Посуда. Продукты,Konservalar,Консервы
Idish-tovoq. Oziq-ovqat,Посуда. Продукты,Kotlet,Котлеты
Idish-tovoq. Oziq-ovqat,Посуда. Продукты,Krep,Блины
Idish-tovoq. Oziq-ovqat,Посуда. Продукты,Krujka,Кружка
Idish-tovoq. Oziq-ovqat,Посуда. Продукты,Mahsulotlar,Продукты
Idish-tovoq. Oziq-ovqat,Посуда. Продукты,Makaron,Макароны
Idish-tovoq. Oziq-ovqat,Посуда. Продукты,Mazali,Вкусно
Idish-tovoq. Oziq-ovqat,Посуда. Продукты,Non,Булка
Idish-tovoq. Oziq-ovqat,Посуда. Продукты,Non,Хлеб
Idish-tovoq. Oziq-ovqat,Посуда. Продукты,O'qlag'ich,Скалка
Idish-tovoq. Oziq-ovqat,Посуда. Продукты,O'simlik moyi,Растительное масло
Idish-tovoq. Oziq-ovqat,Посуда. Продукты,Pech,Печь
Idish-tovoq. Oziq-ovqat,Посуда. Продукты,Pechene,Печенье
Idish-tovoq. Oziq-ovqat,Посуда. Продукты,Pichoq,Нож
Idish-tovoq. Oziq-ovqat,Посуда. Продукты,Pirog,Пирог
Idish-tovoq. Oziq-ovqat,Посуда. Продукты,Pishirmoq,Варить
Idish-tovoq. Oziq-ovqat,Посуда. Продукты,Pishloq,Сыр
Idish-tovoq. Oziq-ovqat,Посуда. Продукты,Pivo,Пиво
Idish-tovoq. Oziq-ovqat,Посуда. Продукты,Piyola,Рюмка
Idish-tovoq. Oziq-ovqat,Посуда. Продукты,Piyola (choy uchun),Чашка
Idish-tovoq. Oziq-ovqat,Посуда. Продукты,Poднос,Поднос
Idish-tovoq. Oziq-ovqat,Посуда. Продукты,Qahva,Кофе
Idish-tovoq. Oziq-ovqat,Посуда. Продукты,Qalampir,Перец
Idish-tovoq. Oziq-ovqat,Посуда. Продукты,Qatiq,Сметана
Idish-tovoq. Oziq-ovqat,Посуда. Продукты,Qaynатmoq,Варить (кипятить)
Idish-tovoq. Oziq-ovqat,Посуда. Продукты,Qaynатmoq,Кипятить
Idish-tovoq. Oziq-ovqat,Посуда. Продукты,Qazan,Кастрюля
Idish-tovoq. Oziq-ovqat,Посуда. Продукты,Qiyma,Каша
Idish-tovoq. Oziq-ovqat,Посуда. Продукты,Qoshiq,Ложка
Idish-tovoq. Oziq-ovqat,Посуда. Продукты,Qovurmoq,Жарить
Idish-tovoq. Oziq-ovqat,Посуда. Продукты,Sariyog',Сливочное масло
Idish-tovoq. Oziq-ovqat,Посуда. Продукты,Seld (baliq),Сельдь
Idish-tovoq. Oziq-ovqat,Посуда. Продукты,Semolina,Манная
Idish-tovoq. Oziq-ovqat,Посуда. Продукты,Shakar,Сахар
Idish-tovoq. Oziq-ovqat,Посуда. Продукты,Shampan sharоbi,Шампанское
Idish-tovoq. Oziq-ovqat,Посуда. Продукты,Shisha,Бутылка
Idish-tovoq. Oziq-ovqat,Посуда. Продукты,Sho'rva,Суп
Idish-tovoq. Oziq-ovqat,Посуда. Продукты,Sosiska,Сосиски
Idish-tovoq. Oziq-ovqat,Посуда. Продукты,Stakan,Стакан
Idish-tovoq. Oziq-ovqat,Посуда. Продукты,Sulı,Овсяная
Idish-tovoq. Oziq-ovqat,Посуда. Продукты,Sut,Молоко
Idish-tovoq. Oziq-ovqat,Посуда. Продукты,Tayyorlamoq,Готовить
Idish-tovoq. Oziq-ovqat,Посуда. Продукты,Tort,Торт
Idish-tovoq. Oziq-ovqat,Посуда. Продукты,Tova,Сковорода
Idish-tovoq. Oziq-ovqat,Посуда. Продукты,Tovoq,Тарелка
Idish-tovoq. Oziq-ovqat,Посуда. Продукты,Tovоq (chuqur),Половник
Idish-tovoq. Oziq-ovqat,Посуда. Продукты,Tuxum,Яйцо
Idish-tovoq. Oziq-ovqat,Посуда. Продукты,Tuxum qovurma,Яичница
Idish-tovoq. Oziq-ovqat,Посуда. Продукты,Tuz,Соль
Idish-tovoq. Oziq-ovqat,Посуда. Продукты,Tvorog,Творог
Idish-tovoq. Oziq-ovqat,Посуда. Продукты,Un,Мука
Idish-tovoq. Oziq-ovqat,Посуда. Продукты,Vaza,Ваза
Idish-tovoq. Oziq-ovqat,Посуда. Продукты,Vilka,Вилка
Idish-tovoq. Oziq-ovqat,Посуда. Продукты,Vino,Вино
Idish-tovoq. Oziq-ovqat,Посуда. Продукты,Vobla (baliq),Вобла
Idish-tovoq. Oziq-ovqat,Посуда. Продукты,Yangi,Свежий
Idish-tovoq. Oziq-ovqat,Посуда. Продукты,Yeb qo'ymoq,Съесть
Idish-tovoq. Oziq-ovqat,Посуда. Продукты,Yemoq,Есть
Idish-tovoq. Oziq-ovqat,Посуда. Продукты,Yormа (qovoq),Крупа гречневая
Idish-tovoq. Oziq-ovqat,Посуда. Продукты,Yutmoq,Проглотить
Inson. Qarindoshlik. Oila,Человек. Родство. Семья,Ahillik,Согласие
Inson. Qarindoshlik. Oila,Человек. Родство. Семья,Ajdod,Предок
Inson. Qarindoshlik. Oila,Человек. Родство. Семья,Ajdodlar shajarasi,Родословная
Inson. Qarindoshlik. Oila,Человек. Родство. Семья,Ajralish,Развод
Inson. Qarindoshlik. Oila,Человек. Родство. Семья,Ajrim,Развод
Inson. Qarindoshlik. Oila,Человек. Родство. Семья,Ajrim alimenti(aliment),Алименты
Inson. Qarindoshlik. Oila,Человек. Родство. Семья,Aka,Старший брат
Inson. Qarindoshlik. Oila,Человек. Родство. Семья,Aka-uka,Братья
Inson. Qarindoshlik. Oila,Человек. Родство. Семья,Aka/uka,Брат
Inson. Qarindoshlik. Oila,Человек. Родство. Семья,Aka/uka,Брат
Inson. Qarindoshlik. Oila,Человек. Родство. Семья,Amaki,Дядя (по отцу)
Inson. Qarindoshlik. Oila,Человек. Родство. Семья,Amaki/tog'a,Дядя
Inson. Qarindoshlik. Oila,Человек. Родство. Семья,Amma(amma daktil alifbosida),Тётя (сестра отца)
Inson. Qarindoshlik. Oila,Человек. Родство. Семья,Anana(uch xil),Традиция
Inson. Qarindoshlik. Oila,Человек. Родство. Семья,Aqiqa,Акика (именины ребёнка)
Inson. Qarindoshlik. Oila,Человек. Родство. Семья,Asrab olish,Усыновление
Inson. Qarindoshlik. Oila,Человек. Родство. Семья,Avlod,Поколение
Inson. Qarindoshlik. Oila,Человек. Родство. Семья,Ayol,Женщина
Inson. Qarindoshlik. Oila,Человек. Родство. Семья,Baland bo'yli,Высокий
Inson. Qarindoshlik. Oila,Человек. Родство. Семья,Baxt,Счастье
Inson. Qarindoshlik. Oila,Человек. Родство. Семья,Baxtsiz,Бедный / несчастный
Inson. Qarindoshlik. Oila,Человек. Родство. Семья,Begona,Чужой
Inson. Qarindoshlik. Oila,Человек. Родство. Семья,Beshik,Колыбель
Inson. Qarindoshlik. Oila,Человек. Родство. Семья,Bo'ydoq,Холостяк
Inson. Qarindoshlik. Oila,Человек. Родство. Семья,Bobo (buva),Дед (дедушка)
Inson. Qarindoshlik. Oila,Человек. Родство. Семья,Bola,Ребёнок
Inson. Qarindoshlik. Oila,Человек. Родство. Семья,Bolalar,Дети
Inson. Qarindoshlik. Oila,Человек. Родство. Семья,Boy,Богатый
Inson. Qarindoshlik. Oila,Человек. Родство. Семья,Buvi (bobo),Бабушка
Inson. Qarindoshlik. Oila,Человек. Родство. Семья,Buvi (keksa ayol),Баба
Inson. Qarindoshlik. Oila,Человек. Родство. Семья,Chaqaloq,Младенец
Inson. Qarindoshlik. Oila,Человек. Родство. Семья,Chilla(muhokama qilamiz),Чилла (послеродовой период)
Inson. Qarindoshlik. Oila,Человек. Родство. Семья,Chimildiq,Свадебный занавес
Inson. Qarindoshlik. Oila,Человек. Родство. Семья,Chiroyli,Красивый
Inson. Qarindoshlik. Oila,Человек. Родство. Семья,Chiroyli emas,Некрасивый
Inson. Qarindoshlik. Oila,Человек. Родство. Семья,Dada,Папа
Inson. Qarindoshlik. Oila,Человек. Родство. Семья,Dasturxon,Дастархан
Inson. Qarindoshlik. Oila,Человек. Родство. Семья,Davra,Собрание
Inson. Qarindoshlik. Oila,Человек. Родство. Семья,Dostlik(ikki xil),Дружба
Inson. Qarindoshlik. Oila,Человек. Родство. Семья,Dugona,Подруга
Inson. Qarindoshlik. Oila,Человек. Родство. Семья,Egizaklar,Близнецы
Inson. Qarindoshlik. Oila,Человек. Родство. Семья,Emizish,Кормление грудью
Inson. Qarindoshlik. Oila,Человек. Родство. Семья,Er,Муж
Inson. Qarindoshlik. Oila,Человек. Родство. Семья,Er va xotin,Муж и жена
Inson. Qarindoshlik. Oila,Человек. Родство. Семья,Er-xotin,Супруги
Inson. Qarindoshlik. Oila,Человек. Родство. Семья,Erkak,Мужчина
Inson. Qarindoshlik. Oila,Человек. Родство. Семья,Etibor,Внимание
Inson. Qarindoshlik. Oila,Человек. Родство. Семья,Farzand,Ребёнок (дитя)
Inson. Qarindoshlik. Oila,Человек. Родство. Семья,Fayz,Благодать
Inson. Qarindoshlik. Oila,Человек. Родство. Семья,Fidokor ona(jonkuyar ona),Самоотверженная мать
Inson. Qarindoshlik. Oila,Человек. Родство. Семья,Fidoyilik,Самоотверженность
Inson. Qarindoshlik. Oila,Человек. Родство. Семья,Fotiha toyi,Помолвка
Inson. Qarindoshlik. Oila,Человек. Родство. Семья,Gam,Горе
Inson. Qarindoshlik. Oila,Человек. Родство. Семья,Gamxorlik,Забота
Inson. Qarindoshlik. Oila,Человек. Родство. Семья,Giybat,Сплетня
Inson. Qarindoshlik. Oila,Человек. Родство. Семья,Godak,Малыш
Inson. Qarindoshlik. Oila,Человек. Родство. Семья,Gurur,Гордость
Inson. Qarindoshlik. Oila,Человек. Родство. Семья,Homiladorlik,Беременность
Inson. Qarindoshlik. Oila,Человек. Родство. Семья,Hordiq,Отдых
Inson. Qarindoshlik. Oila,Человек. Родство. Семья,Hurmat,Уважение
Inson. Qarindoshlik. Oila,Человек. Родство. Семья,Hurmat qilmoq,Уважать
Inson. Qarindoshlik. Oila,Человек. Родство. Семья,Ingichka,Тонкий
Inson. Qarindoshlik. Oila,Человек. Родство. Семья,Inson,Человек
Inson. Qarindoshlik. Oila,Человек. Родство. Семья,Ishonch,Доверие
Inson. Qarindoshlik. Oila,Человек. Родство. Семья,Jamiyat,Общество
Inson. Qarindoshlik. Oila,Человек. Родство. Семья,Jasorat,Смелость
Inson. Qarindoshlik. Oila,Человек. Родство. Семья,Jiyan(ikki xil),Племянник / племянница
Inson. Qarindoshlik. Oila,Человек. Родство. Семья,Jiyani,Племянник
Inson. Qarindoshlik. Oila,Человек. Родство. Семья,Kambag'al,Бедный
Inson. Qarindoshlik. Oila,Человек. Родство. Семья,Katta oila,Большая семья
Inson. Qarindoshlik. Oila,Человек. Родство. Семья,Katta yoshli,Взрослый
Inson. Qarindoshlik. Oila,Человек. Родство. Семья,Kattaroq,Старший
Inson. Qarindoshlik. Oila,Человек. Родство. Семья,Keksa,Старый
Inson. Qarindoshlik. Oila,Человек. Родство. Семья,Kelin,Невестка
Inson. Qarindoshlik. Oila,Человек. Родство. Семья,Kelin salom,Приветствие невестки
Inson. Qarindoshlik. Oila,Человек. Родство. Семья,Kelin va kuyov,Невеста и жених
Inson. Qarindoshlik. Oila,Человек. Родство. Семья,Kelishuv,Договорённость
Inson. Qarindoshlik. Oila,Человек. Родство. Семья,Kenoyi,Жена старшего брата
Inson. Qarindoshlik. Oila,Человек. Родство. Семья,Kichikroq,Младший
Inson. Qarindoshlik. Oila,Человек. Родство. Семья,Kichkintoy,Малыш
Inson. Qarindoshlik. Oila,Человек. Родство. Семья,Kuyov(muhokama qilamiz),Жених / зять
Inson. Qarindoshlik. Oila,Человек. Родство. Семья,Masuliyat,Ответственность
Inson. Qarindoshlik. Oila,Человек. Родство. Семья,Mehmon,Гость
Inson. Qarindoshlik. Oila,Человек. Родство. Семья,Mehr,Нежность
Inson. Qarindoshlik. Oila,Человек. Родство. Семья,Mehribon,Добрый
Inson. Qarindoshlik. Oila,Человек. Родство. Семья,Meros,Наследство
Inson. Qarindoshlik. Oila,Человек. Родство. Семья,Momo(buvi),Бабушка
Inson. Qarindoshlik. Oila,Человек. Родство. Семья,Muhabbat(ikki-uch variant),Любовь
Inson. Qarindoshlik. Oila,Человек. Родство. Семья,Munosabat,Отношения
Inson. Qarindoshlik. Oila,Человек. Родство. Семья,Mustahkam oila(ikki variant),Крепкая семья
Inson. Qarindoshlik. Oila,Человек. Родство. Семья,Nabira,Внук / внучка
Inson. Qarindoshlik. Oila,Человек. Родство. Семья,Nasihat,Совет
Inson. Qarindoshlik. Oila,Человек. Родство. Семья,Nikoh,Брак (никах)
Inson. Qarindoshlik. Oila,Человек. Родство. Семья,Nikoh shartnomasi,Брачный договор
Inson. Qarindoshlik. Oila,Человек. Родство. Семья,Niyat,Намерение
Inson. Qarindoshlik. Oila,Человек. Родство. Семья,O'g'il,Сын
Inson. Qarindoshlik. Oila,Человек. Родство. Семья,O'g'il bola,Мальчик
Inson. Qarindoshlik. Oila,Человек. Родство. Семья,O'lim,Смерть
Inson. Qarindoshlik. Oila,Человек. Родство. Семья,O'lmoq,Умереть
Inson. Qarindoshlik. Oila,Человек. Родство. Семья,O'smir,Подросток
Inson. Qarindoshlik. Oila,Человек. Родство. Семья,Ogay(ikki variant),Сводный брат / сестра
Inson. Qarindoshlik. Oila,Человек. Родство. Семья,Ogil,Сын
Inson. Qarindoshlik. Oila,Человек. Родство. Семья,Oila,Семья
Inson. Qarindoshlik. Oila,Человек. Родство. Семья,Oila an'analari(ikki-uch variant),Семейные традиции
Inson. Qarindoshlik. Oila,Человек. Родство. Семья,Oila davrasida,В кругу семьи
Inson. Qarindoshlik. Oila,Человек. Родство. Семья,Oilaviy bayram,Семейный праздник
Inson. Qarindoshlik. Oila,Человек. Родство. Семья,Oilaviy byudjet,Семейный бюджет
Inson. Qarindoshlik. Oila,Человек. Родство. Семья,Oilaviy rishtalar,Родственные связи
Inson. Qarindoshlik. Oila,Человек. Родство. Семья,Ona,Мать
Inson. Qarindoshlik. Oila,Человек. Родство. Семья,Opa,Старшая сестра
Inson. Qarindoshlik. Oila,Человек. Родство. Семья,Or-nomus(ikki variant),Честь и достоинство
Inson. Qarindoshlik. Oila,Человек. Родство. Семья,Ornak,Пример
Inson. Qarindoshlik. Oila,Человек. Родство. Семья,osmir,Подросток
Inson. Qarindoshlik. Oila,Человек. Родство. Семья,Ota,Отец
Inson. Qarindoshlik. Oila,Человек. Родство. Семья,Ota-ona,Родители
Inson. Qarindoshlik. Oila,Человек. Родство. Семья,Ota-onaga itoat,Послушание родителям
Inson. Qarindoshlik. Oila,Человек. Родство. Семья,Ozg'in,Худой
Inson. Qarindoshlik. Oila,Человек. Родство. Семья,Past bo'yli,Маленький
Inson. Qarindoshlik. Oila,Человек. Родство. Семья,Pochcha,Муж старшей сестры
Inson. Qarindoshlik. Oila,Человек. Родство. Семья,Qadr-qimmat,Достоинство
Inson. Qarindoshlik. Oila,Человек. Родство. Семья,Qadrdon,Близкий человек
Inson. Qarindoshlik. Oila,Человек. Родство. Семья,Qadriyatlar,Ценности
Inson. Qarindoshlik. Oila,Человек. Родство. Семья,Qarindosh,Родственник
Inson. Qarindoshlik. Oila,Человек. Родство. Семья,Qariyalar,Пожилые люди
Inson. Qarindoshlik. Oila,Человек. Родство. Семья,Qattiqqollik,Строгость
Inson. Qarindoshlik. Oila,Человек. Родство. Семья,Qaynona,Свекровь / тёща
Inson. Qarindoshlik. Oila,Человек. Родство. Семья,Qaynota,Свёкор / тесть
Inson. Qarindoshlik. Oila,Человек. Родство. Семья,Qiz,Дочь
Inson. Qarindoshlik. Oila,Человек. Родство. Семья,Qiz bola,Девочка
Inson. Qarindoshlik. Oila,Человек. Родство. Семья,Qollab-quvvatlash,Поддержка
Inson. Qarindoshlik. Oila,Человек. Родство. Семья,Rafiqa,Подруга / спутница
Inson. Qarindoshlik. Oila,Человек. Родство. Семья,Rahmat,Спасибо
Inson. Qarindoshlik. Oila,Человек. Родство. Семья,Rohat,Удовольствие
Inson. Qarindoshlik. Oila,Человек. Родство. Семья,Rozgor tebratuvchi,"Тот, кто качает колыбель"
Inson. Qarindoshlik. Oila,Человек. Родство. Семья,Rozgor tutish,Ведение хозяйства
Inson. Qarindoshlik. Oila,Человек. Родство. Семья,Rozgor(taklif beramiz guruhga),Хозяйство
Inson. Qarindoshlik. Oila,Человек. Родство. Семья,Sabr,Терпение
Inson. Qarindoshlik. Oila,Человек. Родство. Семья,Sadoqat,Преданность
Inson. Qarindoshlik. Oila,Человек. Родство. Семья,Samimiyat,Искренность
Inson. Qarindoshlik. Oila,Человек. Родство. Семья,Sevgilisi,Любовник / любовница
Inson. Qarindoshlik. Oila,Человек. Родство. Семья,Singil,Младшая сестра
Inson. Qarindoshlik. Oila,Человек. Родство. Семья,Singil/opa,Сестра
Inson. Qarindoshlik. Oila,Человек. Родство. Семья,Sogliq,Здоровье
Inson. Qarindoshlik. Oila,Человек. Родство. Семья,Sovchi,Сват / сваха
Inson. Qarindoshlik. Oila,Человек. Родство. Семья,Tarbiya,Воспитание
Inson. Qarindoshlik. Oila,Человек. Родство. Семья,Tarbiyachi(oilada),Воспитатель (в семье)
Inson. Qarindoshlik. Oila,Человек. Родство. Семья,Tashvish,Беспокойство
Inson. Qarindoshlik. Oila,Человек. Родство. Семья,Tinchlik,Мир
Inson. Qarindoshlik. Oila,Человек. Родство. Семья,To'liq,Толстый
Inson. Qarindoshlik. Oila,Человек. Родство. Семья,To'y,Свадьба
Inson. Qarindoshlik. Oila,Человек. Родство. Семья,Toga,Дядя (брат матери)
Inson. Qarindoshlik. Oila,Человек. Родство. Семья,Tokinlik,Достаток
Inson. Qarindoshlik. Oila,Человек. Родство. Семья,Toy,Торжество / свадьба
Inson. Qarindoshlik. Oila,Человек. Родство. Семья,Tug'ilmoq,Родиться
Inson. Qarindoshlik. Oila,Человек. Родство. Семья,Tugruq,Роды
Inson. Qarindoshlik. Oila,Человек. Родство. Семья,Turmush ortoq,Супруг / супруга
Inson. Qarindoshlik. Oila,Человек. Родство. Семья,Turmush qurmoq,Жениться / выйти замуж
Inson. Qarindoshlik. Oila,Человек. Родство. Семья,Urf-odat,Обычаи и традиции
Inson. Qarindoshlik. Oila,Человек. Родство. Семья,Uy,Дом
Inson. Qarindoshlik. Oila,Человек. Родство. Семья,Uy bekasi,Хозяйка дома
Inson. Qarindoshlik. Oila,Человек. Родство. Семья,Vasiylik,Опекунство
Inson. Qarindoshlik. Oila,Человек. Родство. Семья,Voris,Наследник
Inson. Qarindoshlik. Oila,Человек. Родство. Семья,Xola(muhokama qilamiz),Тётя (сестра матери)
Inson. Qarindoshlik. Oila,Человек. Родство. Семья,Xola/ammacha,Тётя
Inson. Qarindoshlik. Oila,Человек. Родство. Семья,Xonadon,Домохозяйство
Inson. Qarindoshlik. Oila,Человек. Родство. Семья,Xotin,Жена
Inson. Qarindoshlik. Oila,Человек. Родство. Семья,Xotira,Память
Inson. Qarindoshlik. Oila,Человек. Родство. Семья,Yaqinlar,Близкие
Inson. Qarindoshlik. Oila,Человек. Родство. Семья,Yashash,Жить
Inson. Qarindoshlik. Oila,Человек. Родство. Семья,Yaxshi niyat,Доброе намерение
Inson. Qarindoshlik. Oila,Человек. Родство. Семья,Yaxshilik,Добро
Inson. Qarindoshlik. Oila,Человек. Родство. Семья,Yosh,Молодой
Inson. Qarindoshlik. Oila,Человек. Родство. Семья,Zamonaviy oila,Современная семья
Inson. Qarindoshlik. Oila,Человек. Родство. Семья,Ziyofat,Пир / застолье
Intellektual faoliyat,Интеллектуальная деятельность,Ahmoq,Бестолковый
Intellektual faoliyat,Интеллектуальная деятельность,Ahmoq,Глупый
Intellektual faoliyat,Интеллектуальная деятельность,Ahmoqona,Дурной
Intellektual faoliyat,Интеллектуальная деятельность,Aldamoq,Обманывать
Intellektual faoliyat,Интеллектуальная деятельность,Aldanmoq,Обманываться
Intellektual faoliyat,Интеллектуальная деятельность,Aqlli,Умный
Intellektual faoliyat,Интеллектуальная деятельность,Aralashmoq,Мешать
Intellektual faoliyat,Интеллектуальная деятельность,Aytmoq,Сказать
Intellektual faoliyat,Интеллектуальная деятельность,Bilmaslik,Не знать
Intellektual faoliyat,Интеллектуальная деятельность,Bilmoq (uddalay olmoq),Знать (уметь)
Intellektual faoliyat,Интеллектуальная деятельность,Chizmoq,Рисовать
Intellektual faoliyat,Интеллектуальная деятельность,Diqqat,Внимание
Intellektual faoliyat,Интеллектуальная деятельность,Diqqat jamlash,Сосредоточенность
Intellektual faoliyat,Интеллектуальная деятельность,Eslamoq,Вспомнить
Intellektual faoliyat,Интеллектуальная деятельность,Eslamoq,Помнить
Intellektual faoliyat,Интеллектуальная деятельность,Eslatmoq,Напомнить
Intellektual faoliyat,Интеллектуальная деятельность,Fikr,Мнение
Intellektual faoliyat,Интеллектуальная деятельность,Fikr (xayol),Мысль
Intellektual faoliyat,Интеллектуальная деятельность,G'oya,Идея
Intellektual faoliyat,Интеллектуальная деятельность,Gapirmoq,Говорить
Intellektual faoliyat,Интеллектуальная деятельность,Gumon,Подозрение
Intellektual faoliyat,Интеллектуальная деятельность,Hayron bo'lmoq,Удивляться
Intellektual faoliyat,Интеллектуальная деятельность,Hikoya qilmoq,Рассказывать
Intellektual faoliyat,Интеллектуальная деятельность,Iste'dod,Талант
Intellektual faoliyat,Интеллектуальная деятельность,Jazоlamoq,Наказать
Intellektual faoliyat,Интеллектуальная деятельность,Kurashmoq,Бороться
Intellektual faoliyat,Интеллектуальная деятельность,Maqtamoq,Хвалить
Intellektual faoliyat,Интеллектуальная деятельность,Muammo,Проблема
Intellektual faoliyat,Интеллектуальная деятельность,Norozilik bildirmoq,Протестовать
Intellektual faoliyat,Интеллектуальная деятельность,O'qimoq,Читать
Intellektual faoliyat,Интеллектуальная деятельность,O'rganmoq,Изучать
Intellektual faoliyat,Интеллектуальная деятельность,O'rganmoq,Учиться
Intellektual faoliyat,Интеллектуальная деятельность,O'rgatmoq,Учить
Intellektual faoliyat,Интеллектуальная деятельность,O'ylab topmoq,Выдумывать
Intellektual faoliyat,Интеллектуальная деятельность,O'ylamoq,Думать
Intellektual faoliyat,Интеллектуальная деятельность,Olim,Учёный
Intellektual faoliyat,Интеллектуальная деятельность,Qaysarlik,Упрямство
Intellektual faoliyat,Интеллектуальная деятельность,Rad etmoq,Отказывать
Intellektual faoliyat,Интеллектуальная деятельность,Rozi bo'lmoq,Соглашаться
Intellektual faoliyat,Интеллектуальная деятельность,Sezmoq,Замечать
Intellektual faoliyat,Интеллектуальная деятельность,Shubha,Сомнение
Intellektual faoliyat,Интеллектуальная деятельность,So'kmoq,Ругать
Intellektual faoliyat,Интеллектуальная деятельность,Takrorlamoq,Повторить
Intellektual faoliyat,Интеллектуальная деятельность,Tanqid qilmoq,Критиковать
Intellektual faoliyat,Интеллектуальная деятельность,Tasavvur,Воображение
Intellektual faoliyat,Интеллектуальная деятельность,Tekshirmoq,Проверить
Intellektual faoliyat,Интеллектуальная деятельность,Topshirmoq,Поручить
Intellektual faoliyat,Интеллектуальная деятельность,Tushunmaslik,Не понимать
Intellektual faoliyat,Интеллектуальная деятельность,Tushunmoq,Понимать
Intellektual faoliyat,Интеллектуальная деятельность,Tushuntirmoq,Объяснять
Intellektual faoliyat,Интеллектуальная деятельность,Udday olmaslik,Не уметь
Intellektual faoliyat,Интеллектуальная деятельность,Unutmoq,Забыть
Intellektual faoliyat,Интеллектуальная деятельность,Xabar bermoq,Сообщить
Intellektual faoliyat,Интеллектуальная деятельность,Xato qilmoq,Ошибаться
Intellektual faoliyat,Интеллектуальная деятельность,Yodlamoq,Запомнить
Intellektual faoliyat,Интеллектуальная деятельность,Yordam bermoq,Помогать
Intellektual faoliyat,Интеллектуальная деятельность,Yozmoq,Писать
Kasb. Biznes,Профессия. Бизнес,Artist,Артист
Kasb. Biznes,Профессия. Бизнес,Arzon,Дёшево
Kasb. Biznes,Профессия. Бизнес,Askar,Солдат
Kasb. Biznes,Профессия. Бизнес,Besh so'm,Пять рублей
Kasb. Biznes,Профессия. Бизнес,Bir dona,Одна штука
Kasb. Biznes,Профессия. Бизнес,Bir kilogramm,Один килограмм
Kasb. Biznes,Профессия. Бизнес,Bir ming,Одна тысяча
Kasb. Biznes,Профессия. Бизнес,Bir so'm,Один рубль
Kasb. Biznes,Профессия. Бизнес,Biznes,Бизнес
Kasb. Biznes,Профессия. Бизнес,Brigadir,Бригадир
Kasb. Biznes,Профессия. Бизнес,Buxgalter,Бухгалтер
Kasb. Biznes,Профессия. Бизнес,Chilangar,Слесарь
Kasb. Biznes,Профессия. Бизнес,Chizmachi,Чертёжник
Kasb. Biznes,Профессия. Бизнес,Cho'pon,Пастух
Kasb. Biznes,Профессия. Бизнес,Daraja,Разряд
Kasb. Biznes,Профессия. Бизнес,Dengizchi,Моряк
Kasb. Biznes,Профессия. Бизнес,Duradgor,Плотник
Kasb. Biznes,Профессия. Бизнес,Duradgor (yog'och),Столяр
Kasb. Biznes,Профессия. Бизнес,Egasi,Хозяин
Kasb. Biznes,Профессия. Бизнес,Etikdo'z,Сапожник
Kasb. Biznes,Профессия. Бизнес,Fabrika,Фабрика
Kasb. Biznes,Профессия. Бизнес,Farrosh,Уборщица
Kasb. Biznes,Профессия. Бизнес,Farrosh (ko'cha),Дворник
Kasb. Biznes,Профессия. Бизнес,Farrosh (uy),Уборщица (прислуга)
Kasb. Biznes,Профессия. Бизнес,Firma,Фирма
Kasb. Biznes,Профессия. Бизнес,Foiz,Процент
Kasb. Biznes,Профессия. Бизнес,Fotograf,Фотограф
Kasb. Biznes,Профессия. Бизнес,Foyda,Выгода
Kasb. Biznes,Профессия. Бизнес,Foyda (daromad),Прибыль
Kasb. Biznes,Профессия. Бизнес,General,Генерал
Kasb. Biznes,Профессия. Бизнес,Hamshira,Медсестра
Kasb. Biznes,Профессия. Бизнес,Haydovchi,Шофёр
Kasb. Biznes,Профессия. Бизнес,Hisoblash,Считать
Kasb. Biznes,Профессия. Бизнес,Ijara,Аренда
Kasb. Biznes,Профессия. Бизнес,Ikki so'm,Два рубля
Kasb. Biznes,Профессия. Бизнес,Imtiyozlar,Льготы
Kasb. Biznes,Профессия. Бизнес,Iqtisodiyot,Экономика
Kasb. Biznes,Профессия. Бизнес,Ish,Дело
Kasb. Biznes,Профессия. Бизнес,Ish haqi,Зарплата
Kasb. Biznes,Профессия. Бизнес,Ishchi,Рабочий
Kasb. Biznes,Профессия. Бизнес,Ishlab chiqarish,Производство
Kasb. Biznes,Профессия. Бизнес,Ishsiz,Безработный
Kasb. Biznes,Профессия. Бизнес,Kapitan,Капитан
Kasb. Biznes,Профессия. Бизнес,Kasb,Профессия
Kasb. Biznes,Профессия. Бизнес,Kredit,Кредит
Kasb. Biznes,Профессия. Бизнес,Marshal,Маршал
Kasb. Biznes,Профессия. Бизнес,Massajist,Массажист
Kasb. Biznes,Профессия. Бизнес,Mulk,Собственность
Kasb. Biznes,Профессия. Бизнес,Narx,Стоимость
Kasb. Biznes,Профессия. Бизнес,Navbat (ish),Смена
Kasb. Biznes,Профессия. Бизнес,O'z,Свой
Kasb. Biznes,Профессия. Бизнес,Ofitser,Офицер
